SessionID,UserID,SessionDate,DurationMinutes,PagesViewed,Device,Browser
1,24354,2025-09-30,16,2,Desktop,Chrome
2,9664,2025-08-21,27,6,Mobile,Chrome
3,15041,2025-11-12,13,2,Mobile,Chrome
4,24398,2025-09-15,22,6,Desktop,Chrome
5,17819,2025-09-10,35,6,Tablet,Chrome
6,23379,2025-11-01,1,7,Mobile,Chrome
7,5229,2025-12-03,25,9,Mobile,Chrome
8,24607,2025-12-06,5,5,Desktop,Chrome
9,4546,2025-11-17,11,6,Desktop,Chrome
10,3728,2025-03-23,28,5,Desktop,Chrome
11,4115,2025-12-10,1,4,Desktop,Chrome
12,11193,2025-10-03,10,6,Desktop,Chrome
13,2677,2025-12-25,21,3,Desktop,Chrome
14,704,2025-12-20,15,1,Mobile,Chrome
15,3745,2025-12-07,28,9,Desktop,Chrome
16,19807,2025-11-20,23,2,Desktop,Chrome
17,6477,2025-12-26,31,4,Desktop,Chrome
18,1378,2025-08-07,31,3,Desktop,Chrome
19,10873,2025-12-11,18,5,Desktop,Chrome
20,1903,2025-08-15,8,8,Desktop,Chrome
21,467,2025-11-17,12,5,Desktop,Chrome
22,16154,2025-12-22,6,2,Desktop,Chrome
23,4071,2025-07-04,11,4,Desktop,Chrome
24,5141,2025-09-12,25,5,Desktop,Chrome
25,11712,2025-09-28,29,6,Mobile,Chrome
26,14735,2025-07-09,19,1,Desktop,Chrome
27,6635,2025-12-24,18,7,Desktop,Chrome
28,12406,2025-05-22,34,4,Desktop,Chrome
29,17783,2025-09-15,11,7,Tablet,Chrome
30,16352,2025-12-20,9,1,Tablet,Chrome
31,24108,2025-10-30,22,6,Mobile,Chrome
32,20376,2025-09-02,23,8,Desktop,Chrome
33,16495,2025-12-27,15,5,Mobile,Chrome
34,3360,2025-10-05,35,6,Desktop,Chrome
35,1354,2025-12-24,26,2,Desktop,Chrome
36,17309,2025-09-22,8,8,Desktop,Chrome
37,2896,2025-05-20,19,6,Desktop,Chrome
38,24473,2025-12-18,10,4,Desktop,Chrome
39,16551,2025-08-02,20,9,Tablet,Chrome
40,347,2025-12-08,16,7,Desktop,Chrome
41,21335,2025-11-05,12,2,Desktop,Chrome
42,18667,2025-11-27,20,2,Mobile,Chrome
43,4055,2025-10-18,28,3,Desktop,Chrome
44,10776,2025-12-29,12,6,Mobile,Chrome
45,1450,2025-12-07,14,5,Desktop,Chrome
46,5354,2025-07-05,23,5,Desktop,Chrome
47,8638,2025-06-06,17,2,Desktop,Chrome
48,148,2025-09-18,20,9,Mobile,Chrome
49,22836,2025-12-28,14,5,Desktop,Chrome
50,15668,2025-10-09,20,8,Desktop,Chrome
51,12350,2025-09-22,26,4,Mobile,Chrome
52,3688,2025-11-25,10,4,Desktop,Chrome
53,2088,2025-08-15,18,6,Desktop,Chrome
54,15508,2025-11-17,27,6,Desktop,Chrome
55,20488,2025-12-17,1,3,Mobile,Chrome
56,7070,2025-09-18,13,10,Desktop,Chrome
57,4689,2025-12-21,16,6,Desktop,Chrome
58,15884,2025-10-20,34,6,Desktop,Chrome
59,5773,2025-12-26,13,3,Desktop,Chrome
60,470,2025-12-16,17,1,Desktop,Chrome
61,24656,2025-05-09,16,1,Mobile,Chrome
62,18926,2025-11-10,36,1,Desktop,Chrome
63,22341,2025-10-01,8,2,Desktop,Chrome
64,16114,2025-11-30,21,7,Desktop,Chrome
65,196,2025-12-25,12,6,Desktop,Chrome
66,17449,2025-09-07,13,2,Desktop,Chrome
67,8848,2025-09-02,10,8,Desktop,Chrome
68,1792,2025-12-26,18,1,Tablet,Chrome
69,2768,2025-10-19,28,3,Desktop,Chrome
70,2810,2025-12-07,1,10,Desktop,Chrome
71,20594,2025-11-11,4,2,Desktop,Chrome
72,16275,2025-08-29,28,7,Desktop,Chrome
73,13494,2025-09-22,28,2,Desktop,Chrome
74,19939,2025-11-01,35,6,Desktop,Chrome
75,21732,2025-11-05,9,1,Desktop,Chrome
76,19019,2025-11-30,15,2,Desktop,Chrome
77,17181,2025-08-22,26,9,Desktop,Chrome
78,10485,2025-12-25,14,1,Desktop,Chrome
79,20464,2025-08-17,24,5,Desktop,Chrome
80,23515,2025-10-12,22,4,Desktop,Chrome
81,9441,2025-11-16,13,8,Desktop,Chrome
82,19786,2025-10-10,5,7,Desktop,Chrome
83,15640,2025-01-19,10,3,Mobile,Chrome
84,714,2025-12-13,8,3,Desktop,Chrome
85,23031,2025-12-11,1,7,Mobile,Chrome
86,14956,2025-09-12,19,3,Tablet,Chrome
87,5809,2025-12-29,13,6,Tablet,Chrome
88,12587,2025-10-20,7,2,Desktop,Chrome
89,6613,2025-12-10,5,1,Mobile,Chrome
